T,wm,N,t,U,J,Jphm,w0,g,lbd,k_sz,diis_mem,timestamp
10,8,1,0.1,3.0,0.6,0.1,0.1,0.2,0.02,24,5,202505011440415956799174
10,8,1,0.1,3.0,0.6,0.1,0.1,0.2,0.05,24,5,202505011440417093409177
10,8,1,0.1,3.0,0.6,0.1,0.1,0.2,0.07,24,5,202505011440415959179178
10,8,1,0.1,3.0,0.8,0.1,0.1,0.1,0.05,24,5,202505011440416294929180
10,8,1,0.1,3.0,0.8,0.1,0.1,0.1,0.02,24,5,202505011440415956879175
10,8,1,0.1,3.0,0.6,0.1,0.1,0.1,0.05,24,5,202505011440415784509181
10,8,1,0.1,3.0,0.6,0.1,0.1,0.1,0.07,24,5,202505011440415867409179
10,8,1,0.1,3.0,0.6,0.1,0.1,0.1,0.02,24,5,202505011440416221979176
10,8,1,0.1,3.0,0.8,0.1,0.1,0.2,0.05,24,5,202505011511053191209178
10,8,1,0.1,3.0,0.8,0.1,0.1,0.2,0.02,24,5,202505011509257149039177
10,8,1,0.1,3.0,0.8,0.1,0.1,0.2,0.07,24,5,202505011513412987019180
10,8,1,0.1,3.0,0.8,0.1,0.1,0.1,0.07,24,5,202505011508221977829174
10,8,1,0.1,3.0,1.0,0.1,0.1,0.1,0.02,24,5,202505011514091751649175
10,8,1,0.1,3.0,1.0,0.1,0.1,0.1,0.05,24,5,202505011515539253569181
10,8,1,0.1,3.0,1.0,0.1,0.1,0.2,0.02,24,5,202505011521074020009176
10,8,1,0.1,3.0,1.0,0.1,0.1,0.1,0.07,24,5,202505011516079287149179
10,8,1,0.1,3.0,1.0,0.1,0.1,0.2,0.07,24,5,202505011536354715009177
10,8,1,0.1,3.0,1.0,0.1,0.1,0.2,0.05,24,5,202505011534478761999178
10,8,1,0.1,4.0,0.6,0.1,0.1,0.1,0.02,24,5,202505011538354465559180
10,8,1,0.1,4.0,0.6,0.1,0.1,0.1,0.05,24,5,202505011540154582189174
10,8,1,0.1,4.0,0.6,0.1,0.1,0.1,0.07,24,5,202505011541395749449175
10,8,1,0.1,4.0,0.6,0.1,0.1,0.2,0.02,24,5,202505011547426446379181
10,8,1,0.1,4.0,0.6,0.1,0.1,0.2,0.07,24,5,202505011551003963039179
10,8,1,0.1,4.0,0.6,0.1,0.1,0.2,0.05,24,5,202505011550299585189176
10,8,1,0.1,4.0,0.8,0.1,0.1,0.1,0.02,24,5,202505011602022704149177
10,8,1,0.1,4.0,0.8,0.1,0.1,0.1,0.05,24,5,202505011604058751229178
10,8,1,0.1,4.0,0.8,0.1,0.1,0.2,0.02,24,5,202505011610357546099174
10,8,1,0.1,4.0,0.8,0.1,0.1,0.1,0.07,24,5,202505011610086309389180
10,8,1,0.1,4.0,0.8,0.1,0.1,0.2,0.05,24,5,202505011619542832909175
10,8,1,0.1,4.0,0.8,0.1,0.1,0.2,0.07,24,5,202505011621598518339181
10,8,1,0.1,4.0,1.0,0.1,0.1,0.1,0.02,24,5,202505011623579834859179
10,8,1,0.1,4.0,1.0,0.1,0.1,0.1,0.05,24,5,202505011628328372269176
10,8,1,0.1,4.0,1.0,0.1,0.1,0.2,0.02,24,5,202505011635263032719178
10,8,1,0.1,4.0,1.0,0.1,0.1,0.1,0.07,24,5,202505011635160839709177
10,8,1,0.1,4.0,1.0,0.1,0.1,0.2,0.07,24,5,202505011643161316369180
10,8,1,0.1,4.0,1.0,0.1,0.1,0.2,0.05,24,5,202505011642519231749174
10,8,1,0.1,5.0,0.6,0.1,0.1,0.1,0.02,24,5,202505011645126610559175
10,8,1,0.1,5.0,0.6,0.1,0.1,0.2,0.02,24,5,202505011700248366079176
10,8,1,0.1,5.0,0.6,0.1,0.1,0.1,0.05,24,5,202505011656056915459181
10,8,1,0.1,5.0,0.6,0.1,0.1,0.1,0.07,24,5,202505011658411095649179
10,8,1,0.1,5.0,0.6,0.1,0.1,0.2,0.05,24,5,202505011704126779239178
10,8,1,0.1,5.0,0.8,0.1,0.1,0.1,0.05,24,5,202505011712190737809174
10,8,1,0.1,5.0,0.6,0.1,0.1,0.2,0.07,24,5,202505011707220088129177
10,8,1,0.1,5.0,0.8,0.1,0.1,0.1,0.02,24,5,202505011710373896109180
10,8,1,0.1,5.0,0.8,0.1,0.1,0.2,0.02,24,5,202505011727535713089176
10,8,1,0.1,5.0,0.8,0.1,0.1,0.1,0.07,24,5,202505011719361161029175
10,8,1,0.1,5.0,0.8,0.1,0.1,0.2,0.07,24,5,202505011735416877729179
10,8,1,0.1,5.0,1.0,0.1,0.1,0.1,0.02,24,5,202505011740557506879178
10,8,1,0.1,5.0,0.8,0.1,0.1,0.2,0.05,24,5,202505011731095631929181
10,8,1,0.1,5.0,1.0,0.1,0.1,0.1,0.05,24,5,202505011744174240959174
10,8,1,0.1,5.0,1.0,0.1,0.1,0.2,0.02,24,5,202505011749112131899180
10,8,1,0.1,5.0,1.0,0.1,0.1,0.1,0.07,24,5,202505011748158917689177
10,8,1,0.1,5.0,1.0,0.1,0.1,0.2,0.05,24,5,202505011758548698699176
10,8,1,0.1,5.0,1.0,0.1,0.1,0.2,0.07,24,5,202505011800286881099175
